Сезонный 43,$299.00,,,,,,,,,,,,,,
Rareness,number,id,name,Type,cost,Drops / case cost,chance,Group chance,Winrate,soft,exp,,,,
5,,67,Джокер,Skin,₽500,0.6,5.56%,11.11%,92.82%,"100,000","1,500",,,,
5,,163,Дьявол,Skin,₽500,0.6,5.56%,,,"100,000","1,500",,,,
4,,6739,Кратос,skin,₽400,0.75,6.94%,14.81%,,"75,000","1,000",,,,
4,765,m3_acse25,Шлем апокалипсис,acces,₽350,0.85,7.87%,,,"50,000","1,000",,,,
3,,6718,Тренер,Skin,₽300,1,9.26%,18.52%,,"45,000",500,,,,
3,,176,Дизель,Skin,₽300,1,9.26%,,,"45,000",500,,,,
2,,209,Брутальный,skin,₽200,1.5,13.89%,27.78%,,"25,000",500,,,,
2,,s114,Димитреску,vinyl,₽200,1.5,13.89%,,,unavailable,unavailable,,,,
1,,s112,Брут,vinyl,₽200,1.5,13.89%,27.78%,,unavailable,unavailable,,,,
1,,s121,Кракен,vinyl,₽200,1.5,13.89%,,,unavailable,unavailable,,,,
,,,,,,10.8,100.00%,,,,,,,,
