vinyl_summer2,$199.00,,,,,,,,
Rareness,number,id,name_in_game,type,cost,Drops / case cost,chance,Group chance,Winrate
5,,s149,Ацтекский воин,vinyl,₽299,0.67,7.60%,11.11%,91.00%
5,,s150,Огненный тигр,vinyl,₽299,0.67,7.60%,,
4,,s151,Красочный демон,vinyl,₽199,1,11.35%,15.21%,
4,,s152,Крылатый череп,vinyl,₽199,1,11.35%,,
3,,s153,Зеленый дракон,vinyl,₽159,1.25,14.19%,29.40%,
3,,s154,Северное сияние,vinyl,₽149,1.34,15.21%,,
2,,s155,Пламя,vinyl,₽149,1.34,15.21%,15.21%,
1,,s156,Бабочки,vinyl,₽129,1.54,17.48%,17.48%,
,,,,,,8.81,100.00%,,
"В игре ""Жара""",,,,,,,,,
