id,Имя,Лимит,"Цена, софт","Цена,Хард","Цена, зачеркнутая харда",Дата начала,Дата окончания,Сегмент,Тип,даты запуска продаж,Комментарий
490,Уаз патриот,,890 000,499,990,01.04.2021,08.04.2021,1/2/3/4,Транспорт,,
6535,Mercedes G63 AMG 2019,,13 000 000,13000,18 000,18.07.2019,01.08.2019,,Удален,,в салон
58,Деревенский,,499 000,99,399,15.04.2021,22.04.2021,1 \ 2 \ 3 \4,Скин,,
122,Саб зиро,,999 000,199,1 499,26.12.2019,02.01.2020,1 \ 2 \ 3 \4,Скин,,
202,Борзый,,69 000,69,129,30.01.2020,06.02.2020,1 \ 2 \ 3 \4,Скин,,удален
6532,BMW 750i,,3 900 000,4 190,6 900,20.05.2021,27.05.2021,1 \ 2 \ 3 \4,Транспорт,,
121,Скорпион,,999 000,199,1 499,20.02.2020,27.02.2020,1 \ 2 \ 3 \ 4,Скин,,
6527,Cadillac escalade platinum,,4 900 000,4900,10 000,09.08.2019,22.08.2019,,Транспорт,,в салон
124,Камуфляжный,,69 000,69,129,23.01.2020,30.01.2020,1 \ 2 \ 3 \4,Скин,,удален
545,McLaren p1,,29 900 000,29 900,35 000,16.08.2019,29.08.2019,1,Транспорт,,в салон
45,Черепоголовый,,,99,990,13.02.2020,20.02.2020,1 \ 2 \ 3 \4,Скин,,
98,Тихушник,,,69,560,27.02.2020,05.03.2020,1 \ 2 \ 3 \4,Скин,,
410,Opel Astra GTC,,990 000,990,1 500,11.03.2021,18.03.2021,3 \ 4,Транспорт,,
445,Toyota Land Cruiser 5.7 AT,,4 900 000,4 900,10 000,25.03.2021,01.04.2021,1 \ 2,Транспорт,,
191,Репер,,,990,3 000,29.08.2019,05.09.2019,1\2\3,Скин,,
560,Subaru Impreza,,3 000 000,3000,5 000,29.08.2019,12.09.2019,1\2\3\4,Транспорт,,в салон
112,Чувак,,,69,350,05.03.2020,12.03.2020,1\2\3\4,Скин,,
576,Pontiac GTO,,5 900 000,4 490,6 500,25.06.2020,02.07.2020,1 \ 2,Транспорт,,удалено
554,Ford Raptor,,2 490 000,2490,5 000,27.09.2019,16.01.2020,1 \ 2 \ 3 ,Транспорт,,в салон
189,На адике,,,99,675,19.03.2020,26.03.2020,1 \ 2 \ 3 \ 4,Скин,,
168,Городской,,,79,500,02.04.2020,09.04.2020,1\2\3\4,Скин,,
419,Dodge Charger,,1 490 000,1 490,2 000,12.11.2020,19.11.2020,3 \ 4,Транспорт,,
541,Lamborgini Gallardo,,13 500 000,13 500,16 000,12.09.2019,26.09.2019,1,Транспорт,,удален
418,Range Rover 4.4 AT,,5 490 000,5490,7 450,12.09.2019,26.09.2019,2,Транспорт,,в салон
412,Dodge Challenger SRT8,,4 490 000,3 000,8 500,12.01.2021,19.01.2021,1\2\ 3 \ 4,Транспорт,,"Лимитированные, из салона не удалять"
183,Подъездный,,,129,770,01.04.2021,08.04.2021,1/2/3/4,Скин,,
14,Кавказец,,,89,840,08.04.2021,15.04.2021,1/2/3/4,Скин,,
580,Porsсhe Panamera,100,8 900 000,4 900,10 000,11.02.2021,18.02.2021,1\2\ 3 \ 4,Транспорт,,"Лимитированные, из салона не удалять"
567,BMW 5 (E60) m пакет,,4 490 000,3 290,6 500,14.01.2021,21.01.2021,3/ 4,Транспорт,,
7,Бен,,,99,840,23.04.2020,07.05.2020,3 \ 4,Скин,,удален
534,Aston Martin DB11 AMR,,14 900 000,14900,19 900,27.09.2019,11.10.2019,1,Транспорт,,в салон
562,Merc SL65         5.5 AT,,5 490 000,5490,7 500,27.09.2019,11.10.2019,1 \ 2,Транспорт,,в салон
176,Дизель,,,99,780,05.03.2020,12.03.2020,1 \ 2 \ 3 \ 4,Скин,,
955 - backpack ,Рюкзак,,,50,99,04.06.2020,11.06.2020,1 \ 2 \ 3 \ 4,Аксессуар,,
2814 - horse,Маска Коня,,,300,599,01.04.2021,08.04.2021,1 \ 2\ 3 \4,Аксессуар,,2814
2823 - mask2,Противогаз,,,90,259,06.02.2020,13.02.2020,1 \ 2 \ 3 \ 4,Аксессуар,,
948 - station,Радиостанция,,,150,399,17.10.2019,24.10.2019,1 \ 2 \ 3 \ 4,Аксессуар,,
2354 - glasses2 ,круглые очки,,,30,69,10.10.2019,17.10.2019,1 \ 2 \ 3 \ 4,Аксессуар,,
2837 - mask_saw,Маска клоуна,,,100,289,24.10.2019,31.10.2019,1 \ 2 \ 3 \ 4,Аксессуар,,
