pack_10,italian,Итальянский,,,,
,id напролнения,name,цена,зачеркнутая цена,кол-во,комментарий
vehicle,558,Ferrari Enzo,8500,15000,,ссылка
skin,19,Коул,400,790,,
tuning_case,,Фартовый кейс (класс S),0,2128,1,type R
цена,,,8900,17918,,скидка 51%
внешние настройки,,,,,,{
,,,,,,"color = { 151, 23, 9 },"
,,,,,,"headlights_color = {},"
,,,,,,"height_level = 0,"
,,,,,,"hydraulics = false,"
,,,,,,"tuning_external = {},"
,,,,,,"vinyls = {},"
,,,,,,"wheels_camber = { 0, 0 },"
,,,,,,"wheels_offset = { 0, 0 },"
,,,,,,"wheels_width = { 0, 0 },"
,,,,,,"windows_color = { 0, 0, 0, 220 }"
,,,,,,}
,,,,,,
,,,43%,,,
