pack_7,space,Космический,,,,,,
,id напролнения,name,цена,зачеркнутая цена,кол-во,комментарий,,
vehicle,503,BMW M NEXT,6450,12000,,ссылка,,46%
skin,79,Старлодр,3450,6000,,,,
tuning_case,,Фартовый кейс (класс S),0,2128,1,type R,,
цена,,,9900,20128,,скидка 51%,,
внешние настройки,,,,,,{,,
,,,,,,"color = { 161, 157, 158 },",,
,,,,,,"headlights_color = { 255, 173, 155 },",,
,,,,,,"height_level = 0,",,
,,,,,,"hydraulics = false,",,
,,,,,,"tuning_external = {},",,
,,,,,,"vinyls = {},",,
,,,,,,"wheels_camber = { 0, 0 },",,
,,,,,,"wheels_offset = { 0, 0 },",,
,,,,,,"wheels_width = { 0, 0 },",,
,,,,,,"windows_color = { 0, 0, 0, 250 }",,
,,,,,,},,
