Ник,id,Сервер,Базовый,Желаемый
Бэд Мэнович,33,1,R33UWWAWH,badman
Анатолик Викторов,5934,1,U59N34RFF,remi
Дмитрий Эринд,24577,1,P24G57B7F,erind
Данил Рэдфор,25872,1,J25D87T2H,redfor
Алексей Давидыч,183,1,1B8DUY3M,genius
Джек Мюллер,44,1,C44DYFCYY,deon
Алексей Будаев,11122,1,A11M12K2F,alive
Никита Кайман,1428,1,T14V28PWF,cayman
Никита Авдейкин,24077,1,K24M07D7F,avddei
Максим Дошикович,83487,1,J83S48T7Y,relock
Дюха Некстов,6068,1,K60N68EHZ,damagen
Дион Андерсон,558,1,G55E8WMHY,dion
Даниил Борисович,423,2,M42Q3ZQFY,danilich
Сява Хорин,173516,2,P17M35N16,syava
Валерий Шмаль,79962,2,V79K96N2Z,nick
Антон Белый,7576,3,7LW5B76M,raily
Витя Маладой,4448,3,V44A48KYZ,bosow
Ихнат Ровный,42150,3,R42N15P0F,sodyan
Михаил Мед,311,3,C31P1HRHF,bear
Злой Борис,468,4,S46T8HUYY,boris
Донни Соколов,1813,4,M18C13BFZ,donny
Даниэль Тризини,1911,4,K19G11B4Y,hokage
Андрей Бичевичь,5650,4,D56K50DFH,andyfy
Макс Фрешовский,5649,4,D56V49KZZ,fresh
Иван Собакин,3981,4,J39B81QHY,luffe
Павел Королев,2732,4,S27R32SFF,flazin
Игорь Макаров,9187,4,N91R87EYF,makarov
 Леха Виноградов,11346,4,R11G34R6W,dyadyaboy
Андрей Лордецкий,27281,4,V27A28E1H,lord
Алексей Глистовидзе,38054,4,J38M05B4H,hyper
Руди Мэн,37168,4,M37J16A8Z,rudi
Инк Инкович,7486,5,B74P86MHH,inc
Евгений Гостович,3026,5,C30J26SFF,ghost
Юрач Паркер,1954,5,N19Q54KWF,yurach
Дмитрий Пинович,13242,5,R13B24T2Z,joespeen
Сода Эффект,13243,5,T13U24T3Y,soda
Дмитрий Федоров,13697,5,P13P69C7W,fedorov
Полина Хлебобулка,23533,5,D23C53G3Z,pozzi
Юрий Файбович ,16031,5,P16j03E1F ,fybe
Олег Слаймов,89263,5,V89D26D3F,slaim13
Матрикс Браун,92467,5,E92B46A7H,matrix
Володя Стоять,54236,6,Q54Q23J6Y,barsik
Марк Сергеевич,15075,6,P15N07S5Y,dovgan
Юджин Секаз,125962,6,D12E59G62,morgan
Ким Кардашьянка,132486,6,M13M24J86,meow
Денис Бирбович,35971,7,V35P97A1Z,bearboo
Тонни Браун,37246,7,E37S24J6Z,biworld
Паша Руферс,53502,7,K53S50K2F,roof
Жека Щербо,7615,7,B76V15EFY,glares
Сем Шовский,48728,7,K48U72B8F ,semshow
Ярэк Брулев,46008,8,M46D00V8F,silence
Артем Салов,16383,8,A16Q38N3F,zloy
Дэйли Дринк,32173,8,V32K17A3H,drink
Руслан Кириченко,104138,3,P10D41D38,ctukc
Али Ильченко,428,9,V42A8WTFW,alibaba
Валерий Шмаль,1912,9,G19S12UZY,nick
Никита Кайман,1641,9,P16J41NHY,cayman
Бэд Мэнович,2813,9,K28T13SZZ,badman
Бэд Мэн,399500,1,K39U95K00,badman
Дмитрий Александров,9705,1,M97K05UYY,disszari
Дюха Некстов,2861,9,A28U61AFF,damagen
Антон Гранд,5802,10,B58D02DWW,grand
