выгрузка 04.03.21,Happy,,,,,,"$5,000.00",,Winrate_happy
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.37%
,,,,,,,,,
5,6581,Pagani Huayra,"34,900,000","34,900,000",Pagani Huayra,car,$0.0001,0.0002%,
5,153,yeni,"4,500,000","4,500,000",Ени,skin,$0.0011,0.0027%,
5,6713,letti,"219,000","2,500,000",Лети,skin,$0.0020,0.0050%,
5,85,johnny,"900,000","1,190,000",Джонни,skin,$0.0042,0.0105%,
5,24,dragon mother,"149,000","1,500,000",Мать Драконов,vinyl,$0.0033,0.0082%,
5,25,cat,"69,000","1,500,000",Кошка,vinyl,$0.0033,0.0082%,
5,neon_52,flower_happiness,"929,000","3,000,000",Цветочное счастье,neon,$0.0017,0.0042%,
5,6722,gentleman,"239,000","1,990,000",Джентльмен,skin,$0.0025,0.0062%,
,Постоянные предметы,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0124%,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0249%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0416%,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0829%,
3,,,"87,000","87,000",3 Жетона,other,$0.0575,0.14%,
2,,,"29,000","29,000",Жетон,other,$0.1724,0.43%,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.50%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,,,"1,000","1,000",рублей,money,$5.0000,12.44%,
3,6721,businesswoman,"249,000","60,000",Бизнесвумен,skin,$0.0833,0.21%,
3,5,cyber_girl,"139,000","50,000",Кибердевушка,vinyl,$0.1000,0.25%,
4,10,victory_2,"62,500","30,000",Победа_2,anim,$0.1667,0.41%,
2,30,30k,"30,000","30,000",рублей,money,$0.1667,0.41%,
2,20,20k,"20,000","20,000",рублей,money,$0.2500,0.62%,
2,10,10k,"10,000","10,000",рублей,money,$0.5000,1.24%,
1,5,5k,"5,000","15,000",exp,exp,$0.3333,0.83%,
1,1100,3k_exp,"3,000","9,000",exp,exp,$0.5556,1.38%,
1,2,2k,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,1050,1_exp,"1,000","3,000",exp,exp,$1.6667,4.15%,
1,1_5,1_5k,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,1,1k,"1,000","1,000",рублей,money,$5.0000,12.44%,
,,,,,,,40.177,100.0000%,
,,,,,,,,,
,Fortune,,,,,,"$10,000.00",,Winrate_fortune
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,93.85%
,,,,,,,,,
5,6581,Pagani Huayra,"34,900,000","34,900,000",Pagani Huayra,car,$0.0003,0.0008%,
5,153,yeni,"4,500,000","4,500,000",Ени,skin,$0.0022,0.0057%,
5,6713,letti,"219,000","2,500,000",Лети,skin,$0.0040,0.0104%,
5,85,johnny,"900,000","1,190,000",Джонни,skin,$0.0084,0.0219%,
5,24,dragon mother,"149,000","1,500,000",Мать Драконов,vinyl,$0.0067,0.0175%,
5,25,cat,"69,000","1,500,000",Кошка,vinyl,$0.0067,0.0175%,
5,neon_52,flower_happiness,"929,000","3,000,000",Цветочное счастье,neon,$0.0033,0.0086%,
5,6722,gentleman,"239,000","1,990,000",Джентльмен,skin,$0.0050,0.0130%,
,Постоянные предметы,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0033,0.0086%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0100,0.0261%,
4,750,750k,"750,000","750,000",рублей,money,$0.0133,0.0347%,
3,500,500k,"500,000","500,000",рублей,money,$0.0200,0.0521%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0333,0.0868%,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0667,0.1738%,
3,100,100k,"100,000","100,000",рублей,money,$0.1000,0.2606%,
3,,,"99,000","99,000",Бронзовый кейс,other,$0.1010,0.2632%,
3,,,"87,000","87,000",3 Жетона,other,$0.1149,0.2994%,
2,,,"29,000","29,000",Жетон,other,$0.3448,0.8985%,
2,repairbox,,"25,000","25,000",Рем. комплект,other,$0.4000,1.0423%,
1,,,"4,000","12,000",exp,exp,$0.8333,2.1713%,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4229%,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4229%,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0286%,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0286%,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4229%,
3,6721,businesswoman,"249,000","60,000",Бизнесвумен,skin,$0.1667,0.4344%,
3,5,cyber_girl,"139,000","50,000",Кибердевушка,vinyl,$0.2000,0.5211%,
4,10,victory_2,"62,500","30,000",Победа_2,anim,$0.3333,0.8685%,
3,50,50k,"50,000","50,000",рублей,money,$0.2000,0.5211%,
2,25,25k,"25,000","25,000",рублей,money,$0.4000,1.0423%,
2,20,20k,"20,000","30,000",exp,exp,$0.3333,0.8685%,
1,1100,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3429%,
1,10,10k,"10,000","10,000",рублей,money,$1.0000,2.6057%,
1,1050,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3429%,
1,2,2k,"2,000","2,000",рублей,money,$5.0000,13.0286%,
1,3,3k,"3,000","3,000",рублей,money,$3.3333,8.6856%,
,,,,,,,38.3772,100.0000%,
,,,,,,,,,
,Story,,,,,,"$15,000.00",,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,Winrate_story
,,,,,,,,,91.30%
5,6581,Pagani Huayra,"34,900,000","34,900,000",Pagani Huayra,car,$0.0004,0.0011%,
5,153,yeni,"4,500,000","4,500,000",Ени,skin,$0.0033,0.0087%,
5,6713,letti,"219,000","2,500,000",Лети,skin,$0.0060,0.0157%,
5,85,johnny,"900,000","1,190,000",Джонни,skin,$0.0126,0.0329%,
5,24,dragon mother,"149,000","1,500,000",Мать Драконов,vinyl,$0.0100,0.0261%,
5,25,cat,"69,000","1,500,000",Кошка,vinyl,$0.0100,0.0261%,
5,neon_52,flower_happiness,"929,000","3,000,000",Цветочное счастье,neon,$0.0050,0.0130%,
5,6722,gentleman,"239,000","1,990,000",Джентльмен,skin,$0.0075,0.0197%,
,Постоянные предметы,,,,,,,0.0000%,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0050,0.0130%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0150,0.0391%,
4,750,750k,"750,000","750,000",рублей,money,$0.0200,0.0522%,
3,500,500k,"500,000","500,000",рублей,money,$0.0300,0.0783%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0500,0.1304%,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.1000,0.2608%,
3,100,100k,"100,000","100,000",рублей,money,$0.1500,0.3913%,
3,,,"149,000","149,000",Серебряный кейс,other,$0.1007,0.2626%,
3,,,"297,000","297,000",3 VIP жетонов,other,$0.0505,0.1317%,
3,,,"99,000","99,000",VIP жетон,other,$0.1515,0.3952%,
1,,,"6,000","18,000",exp,exp,$0.8333,2.1737%,
1,,,"4,500","13,500",exp,exp,$1.1111,2.8983%,
1,,,"5,000","5,000",рублей,money,$3.0000,7.8255%,
1,,,"3,000","3,000",рублей,money,$5.0000,13.0425%,
1,,,"2,500","2,500",рублей,money,$6.0000,15.6510%,
1,,,"3,000","3,000",рублей,money,$5.0000,13.0425%,
3,6721,businesswoman,"249,000","60,000",Бизнесвумен,skin,$0.2500,0.6521%,
3,5,cyber_girl,"139,000","50,000",Кибердевушка,vinyl,$0.3000,0.7825%,
4,10,victory_2,"62,500","30,000",Победа_2,anim,$0.5000,1.3042%,
3,50,50k,"50,000","50,000",рублей,money,$0.3000,0.7825%,
2,25,25k,"25,000","25,000",рублей,money,$0.6000,1.5651%,
2,20,20k,"20,000","60,000",exp,exp,$0.2500,0.6521%,
1,1100,7k_exp,"7,000","21,000",exp,exp,$0.7143,1.8632%,
1,10,10k,"10,000","10,000",рублей,money,$1.5000,3.9127%,
1,1050,5k_exp,"5,000","15,000",exp,exp,$1.0000,2.6085%,
1,2,2k,"2,000","2,000",рублей,money,$7.5000,19.5637%,
1,4,4k,"4,000","4,000",рублей,money,$3.7500,9.7818%,
,,,,,,,38.33632736,100.0000%,
