california,Happy,Запуск 10.06,,,,,"$5,000.00",,Winrate_happy,,,
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,92.03%,,,тюнинг топ-приза:
5,6579,ferrari_california_t2015,"22,900,000","22,900,000",Ferrari California T 2015,car,$0.0002,0.0005%,,,,"{
    color = { 56, 92, 255 },
    headlights_color = { 255, 247, 168 },
    height_level = 0,
    installed_vinyls = { {
            [3] = 5,
            [7] = ""gradient"",
            [10] = 490000,
            [14] = ""soft"",
            [15] = ""gradient"",
            [16] = 1,
            [17] = {
                color = -61383,
                rotation = 0,
                size = 1.5,
                x = 385,
                y = 512
            }
        },
        [5] = {
            [3] = 5,
            [7] = ""circle3"",
            [10] = 262500,
            [14] = ""soft"",
            [15] = ""circle3"",
            [16] = 5,
            [17] = {
                color = -40449,
                rotation = 0,
                size = 1.5,
                x = 643,
                y = 512
            }
        },
        [6] = {
            [3] = 5,
            [7] = ""nfs"",
            [10] = 131250,
            [14] = ""soft"",
            [15] = ""nfs"",
            [16] = 6,
            [17] = {
                color = -34962,
                rotation = 267.3154,
                size = 0.48570514,
                x = 855,
                y = 514
            }
        },
        [7] = {
            [3] = 5,
            [7] = ""nfs"",
            [10] = 131250,
            [14] = ""soft"",
            [15] = ""nfs"",
            [16] = 7,
            [17] = {
                color = -16711778,
                rotation = 267.3154,
                size = 0.47435898,
                x = 865,
                y = 508
            }
        },
        [8] = {
            [3] = 5,
            [7] = ""nfs"",
            [10] = 131250,
            [14] = ""soft"",
            [15] = ""nfs"",
            [16] = 8,
            [17] = {
                color = -16715009,
                rotation = 267.69232,
                size = 0.47,
                x = 861,
                y = 512
            }
        },
        [9] = {
            [3] = 5,
            [7] = ""dlf18"",
            [10] = 297500,
            [14] = ""soft"",
            [15] = ""dlf18"",
            [16] = 9,
            [17] = {
                color = -16687873,
                rotation = 0,
                size = 0.14102565,
                x = 91,
                y = 511
            }
        },
        [10] = {
            [3] = 5,
            [7] = 235,
            [10] = 414000,
            [14] = ""soft"",
            [15] = 235,
            [16] = 10,
            [17] = {
                color = -97794,
                rotation = 261.53845,
                size = 0.20608975,
                x = 437,
                y = 511
            }
        },
        [11] = {
            [3] = 5,
            [7] = ""girl_4"",
            [10] = 648000,
            [14] = ""soft"",
            [15] = ""girl_4"",
            [16] = 11,
            [17] = {
                color = -27906,
                rotation = 230.76923,
                size = 0.52564102,
                x = 498,
                y = 262
            }
        },
        [12] = {
            [3] = 5,
            [7] = ""girl_5"",
            [10] = 936000,
            [14] = ""soft"",
            [15] = ""girl_5"",
            [16] = 12,
            [17] = {
                color = -12683,
                rotation = 0,
                size = 0.32487181,
                x = 436,
                y = 759
            }
        }
    },
    neon_data = {},
    tuning_external = {},
    wheels_camber = { 0, 0 },
    wheels_offset = { 0, 0 },
    wheels_width = { 0, 0 },
    windows_color = { 0, 0, 0, 120 }
}"
5,140,hitman,"990,000","5,500,000",Хитмен,skin,$0.0009,0.0022%,,,,
5,96,connor_mak_gregor,"2,100,000","2,500,000",Конор Мак Грегор,skin,$0.0020,0.0050%,,,,
5,272,neo,"690,000","1,190,000",Нео,skin,$0.0042,0.0105%,,,,
5,neon_49,dubstep,"149,000","1,500,000",Дабстеп,neon,$0.0033,0.0082%,,,,
5,neon_62,neon_flame,"959,000","1,500,000",Неоновое пламя,neon,$0.0033,0.0082%,,,,
5,73,megan,"790,000","1,500,000",Меган,skin,$0.0033,0.0082%,,,,
5,m3_acse01,sombrero,"799,000","1,990,000",Сомбреро,acces,$0.0025,0.0062%,,,,
,Постоянные предметы,,,,,,,,,,,
