victory,Happy,,,,,,"$5,000.00",,Winrate_happy,,,
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.93%,,,тюнинг топ-приза:
Запуск 13.05,,,,,,,,,,,,"{
    color = { 0, 46, 21 },
    headlights_color = { 255, 247, 168 },
    height_level = 0,
    installed_vinyls = {
        [2] = {
            [3] = 4,
            [7] = 49,
            [10] = 165000,
            [14] = ""soft"",
            [15] = 49,
            [16] = 2,
            [17] = {
                color = -8908281,
                rotation = 89.230766,
                size = 0.11974359,
                x = 166,
                y = 511
            }
        },
        [7] = {
            [3] = 4,
            [7] = ""flame3"",
            [10] = 138000,
            [14] = ""soft"",
            [15] = ""flame3"",
            [16] = 7,
            [17] = {
                color = -8911356,
                mirror = true,
                rotation = 180.78462,
                size = 1.5,
                x = 512,
                y = 255
            }
        },
        [8] = {
            [3] = 4,
            [7] = ""flame3"",
            [10] = 138000,
            [14] = ""soft"",
            [15] = ""flame3"",
            [16] = 8,
            [17] = {
                color = -8905705,
                mirror = true,
                rotation = 180.78462,
                size = 1.5,
                x = 512,
                y = 254
            }
        },
        [9] = {
            [3] = 4,
            [7] = ""flame3"",
            [10] = 138000,
            [14] = ""soft"",
            [15] = ""flame3"",
            [16] = 9,
            [17] = {
                color = -8908281,
                rotation = 0,
                size = 1.5,
                x = 512,
                y = 762
            }
        },
        [10] = {
            [3] = 4,
            [7] = ""dj4"",
            [10] = 600000,
            [14] = ""soft"",
            [15] = ""dj4"",
            [16] = 10,
            [17] = {
                color = -8973565,
                rotation = 270.01538,
                size = 0.75641024,
                x = 795,
                y = 512
            }
        },
        [11] = {
            [3] = 4,
            [7] = 112,
            [10] = 260000,
            [14] = ""soft"",
            [15] = 112,
            [16] = 11,
            [17] = {
                color = -16762854,
                rotation = 76.92308,
                size = 1.5,
                x = 512,
                y = 512
            }
        },
        [12] = {
            [3] = 4,
            [7] = 112,
            [10] = 260000,
            [14] = ""soft"",
            [15] = 112,
            [16] = 12,
            [17] = {
                color = -13093586,
                rotation = 0,
                size = 1.5,
                x = 512,
                y = 512
            }
        }
    },
    neon_data = {},
    tuning_external = {},
    wheels = 1083,
    wheels_camber = { 0, 0 },
    wheels_offset = { 0, 0 },
    wheels_width = { 0, 0 },
    windows_color = { 0, 0, 0, 120 }
}"
5,6585,rolls_royce_phantom,"15,900,000","15,900,000",Rolls - Royce Phantom,car,$0.0003,0.0007%,,,,
5,33,wolf,"3,000,000","5,500,000",Волк,skin,$0.0009,0.0022%,,,,
5,91,griezman,"1,925,000","2,500,000",Гризман,skin,$0.0020,0.0050%,,,,
5,6740,rick,"1,290,000","1,190,000",Рик,skin,$0.0042,0.0105%,,,,
5,s36,eternal_love,"149,000","1,500,000","Вечная любовь
",vinyl,$0.0033,0.0082%,,,,
5,neon_21,ussr,"483,000","1,500,000",СССР,neon,$0.0033,0.0082%,,,,
5,horse,horse_mask,"599,000","1,500,000",Маска_Коня,acces,$0.0033,0.0082%,,,,
5,neon_42,living_fire,"799,000","1,990,000",Живой огонь,neon,$0.0025,0.0062%,,,,
,Постоянные предметы,,,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0124%,,,,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0249%,,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0416%,,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0829%,,,,
3,,,"87,000","87,000",3 Жетона,,$0.0575,0.14%,,,,
2,,,"29,000","29,000",Жетон,,$0.1724,0.43%,,,,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.50%,,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,,,,
1,,,"1,000","1,000",рублей,money,$5.0000,12.44%,,,,
3,56,lone_wolf,"450,000","60,000",Одинокая волчица,skin,$0.0833,0.21%,,,,
3,50,soviet,"99,000","50,000",Советский,vinyl,$0.1000,0.25%,,,,
4,35,dance_8,"1,000,000","30,000",Танец_8,anim,$0.1667,0.41%,,,,
2,30,30k,"30,000","30,000",рублей,money,$0.1667,0.41%,,,,
2,20,20k,"20,000","20,000",рублей,money,$0.2500,0.62%,,,,
2,10,10k,"10,000","10,000",рублей,money,$0.5000,1.24%,,,,
1,5,5k,"5,000","15,000",exp,exp,$0.3333,0.83%,,,,
1,1100,3k_exp,"3,000","9,000",exp,exp,$0.5556,1.38%,,,,
1,2,2k,"2,000","2,000",рублей,money,$2.5000,6.22%,,,,
1,1050,1_exp,"1,000","3,000",exp,exp,$1.6667,4.15%,,,,
1,1_5,1_5k,"1,500","1,500",рублей,money,$3.3333,8.30%,,,,
1,1,1k,"1,000","1,000",рублей,money,$5.0000,12.44%,,,,
,,,,,,,40.1786,100.0000%,,,,
,,,,,,,,,,,,
,Fortune,,,,,,"$10,000.00",,Winrate_fortune,,,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,93.64%,,,
,,,,,,,,,,,,
5,6585,rolls_royce_phantom,"15,900,000","15,900,000",Rolls - Royce Phantom,car,$0.0006,0.0016%,,,,
5,33,wolf,"3,000,000","5,500,000",Волк,skin,$0.0018,0.0047%,,,,
5,91,griezman,"1,925,000","2,500,000",Гризман,skin,$0.0040,0.0104%,,,,
5,6740,rick,"1,290,000","1,190,000",Рик,skin,$0.0084,0.0219%,,,,
5,s36,eternal_love,"149,000","1,500,000","Вечная любовь
",vinyl,$0.0067,0.0175%,,,,
5,neon_21,ussr,"483,000","1,500,000",СССР,neon,$0.0067,0.0175%,,,,
